shuf_frac aged_time aged_layout_score clean_time clean_layout_score
0 15.489551782608032 0.9375656577107659 21.674199104309082 0.9984534251441375 
5 15.592453479766846 0.9377831866848994 21.05371379852295 0.9984789509795446 
10 15.3996102809906 0.9384701192135657 21.15468668937683 0.9984166948422768 
15 15.196000576019287 0.9386528815296243 21.829155445098877 0.9984480852786989 
20 15.270841360092163 0.9390176353470244 21.032541513442993 0.9984608474650541 
25 15.139930248260498 0.9392998836695402 21.223339080810547 0.9984803581355113 
30 15.065307855606079 0.9391002893486925 20.629510641098022 0.9984884260860115 
35 15.043319463729858 0.9394403502458509 20.621614694595337 0.9985168009889457 
40 14.952327251434326 0.9396652560954784 20.616637468338013 0.9984304225438806 
45 14.725542068481445 0.9398741291145543 20.122124671936035 0.998527495553873 
50 14.795247554779053 0.9401486860304288 19.470285177230835 0.9984361365649514 
55 14.636896848678589 0.9405883371332152 21.67733335494995 0.9984855977593455 
60 14.611000537872314 0.940849735883094 20.556362867355347 0.9984790153718642 
65 14.699405431747437 0.941295128424739 21.864590644836426 0.9984377887890443 
70 14.364017724990845 0.9410925401040965 20.210610389709473 0.9985844086347764 
75 14.418904781341553 0.9419748423968498 20.505340099334717 0.9985308736948141 
80 14.767452001571655 0.9421208016394012 29.710971117019653 0.998499112811357 
85 15.586283922195435 0.9426545955930175 20.61873960494995 0.9985106866506777 
90 14.340983867645264 0.9428782375209392 21.504520416259766 0.9984944224192185 
95 8.034599304199219 0.7991748731583644 4.4325032234191895 0.9953310549571941 
100 14.133444786071777 0.9435012921366506 21.100916385650635 0.9985940548605532 
