shuf_frac aged_time aged_layout_score clean_time clean_layout_score
0 63.74696588516235 0.937700548456202 34.74766445159912 0.9984976919482402 
5 68.91829586029053 0.9380909715930199 35.482264280319214 0.9984822072449162 
10 76.6728789806366 0.9384054191386046 35.56621718406677 0.9984813539145619 
15 92.40158772468567 0.9385721268097011 34.33652114868164 0.998465304729443 
20 104.56206750869751 0.9389462520307903 36.26033091545105 0.998389515857791 
25 118.41091275215149 0.9391254670791209 33.925416231155396 0.9985588632102745 
30 132.88313937187195 0.9392191977689411 34.99328851699829 0.9984822643473792 
35 146.1668517589569 0.939206603361618 33.52808690071106 0.9985411092611611 
40 160.75727534294128 0.9397929309741463 33.505202770233154 0.9985449916880181 
45 180.4922640323639 0.9400392815853601 33.59588694572449 0.9985189446629859 
50 191.83620071411133 0.9400829657671225 33.5385057926178 0.9985362930053281 
55 209.25317788124084 0.9406178248189647 34.23527693748474 0.9985160295251735 
60 220.87084531784058 0.941017283797206 34.60664701461792 0.9984848885539115 
65 237.43646001815796 0.9409695938651871 33.09061551094055 0.998593014210887 
70 253.84879302978516 0.9411400550356965 33.862053632736206 0.9985239387981086 
75 266.14697074890137 0.9415964734730311 34.03637075424194 0.9985704161137838 
80 291.7605073451996 0.7994580191141811 6.859579563140869 0.995385073864362 
85 301.5868945121765 0.9420900003770696 33.5095272064209 0.9985626512671335 
90 359.10501432418823 0.9430129288461405 34.01006269454956 0.9985600889765708 
95 332.9758813381195 0.9430975587977302 32.866644620895386 0.9985945023290631 
100 348.2201306819916 0.9433355298680591 34.00429081916809 0.9985678153266985 
