round fs_size aged_time aged_layout_score clean_time clean_layout_score
1 2662400 0.011359453201293945 0.9692780337941628 0.011616945266723633 0.9692780337941628 
2 2703360 0.011639833450317383 0.9546142208774584 0.011726856231689453 0.9697428139183056 
3 2744320 0.011620044708251953 0.940387481371088 0.01163935661315918 0.970193740685544 
4 2785280 0.011742591857910156 0.9265785609397944 0.011806488037109375 0.9706314243759178 
5 2826240 0.011971235275268555 0.9131693198263386 0.011893510818481445 0.9710564399421129 
6 2867200 0.013088464736938477 0.9001426533523538 0.012117147445678711 0.9714693295292439 
7 2908160 0.012874126434326172 0.8874824191279888 0.012176990509033203 0.9718706047819972 
8 2949120 0.012903690338134766 0.8751733703190014 0.012473106384277344 0.9722607489597781 
9 2990080 0.012897491455078125 0.8632010943912449 0.012227535247802734 0.972640218878249 
10 3031040 0.01305389404296875 0.8515519568151146 0.012566089630126953 0.9730094466936572 
11 3072000 0.013149023056030273 0.8402130492676432 0.012538433074951172 0.9733688415446072 
12 3112960 0.013170242309570312 0.8291721419185283 0.012752532958984375 0.973718791064389 
13 3153920 0.013522863388061523 0.8184176394293126 0.01259613037109375 0.9740596627756161 
14 3194880 0.012529134750366211 0.8079385403329065 0.012871503829956055 0.9743918053777209 
15 3235840 0.013973712921142578 0.7977243994943111 0.012996196746826172 0.9747155499367889 
16 3276800 0.014075756072998047 0.787765293383271 0.012962818145751953 0.9750312109862672 
17 3317760 0.014409303665161133 0.7780517879161529 0.012680768966674805 0.9753390875462392 
18 3358720 0.014712810516357422 0.7685749086479903 0.01372981071472168 0.9756394640682094 
19 3399680 0.014765024185180664 0.7593261131167268 0.013458490371704102 0.9759326113116726 
20 3440640 0.014609336853027344 0.7502972651605232 0.013372421264648438 0.976218787158145 
21 3481600 0.014797449111938477 0.7414806110458285 0.013416290283203125 0.9764982373678026 
22 3522560 0.014970064163208008 0.7328687572590011 0.013622045516967773 0.9767711962833914 
23 3563520 0.014781713485717773 0.7244546498277842 0.013459444046020508 0.9770378874856487 
24 3604480 0.015072107315063477 0.7162315550510783 0.013727664947509766 0.9772985244040863 
25 3645440 0.015093803405761719 0.7081930415263749 0.01384282112121582 0.9775533108866442 
26 3686400 0.01540684700012207 0.7003329633740288 0.013813018798828125 0.9778024417314095 
27 3727360 0.014494180679321289 0.6926454445664105 0.013718128204345703 0.9780461031833151 
28 3768320 0.015571117401123047 0.6851248642779588 0.013935565948486328 0.9782844733984799 
29 3809280 0.0155487060546875 0.6777658431793769 0.013630867004394531 0.9785177228786252 
30 3850240 0.015388011932373047 0.6705632306057385 0.013998746871948242 0.9787460148777896 
31 3891200 0.015680789947509766 0.6635120925341745 0.01412820816040039 0.9789695057833859 
32 3932160 0.016034364700317383 0.6566077003121749 0.014458179473876953 0.9791883454734651 
33 3973120 0.016022920608520508 0.6498455200823893 0.014173269271850586 0.9794026776519053 
34 4014080 0.016314029693603516 0.6432212028542303 0.014586925506591797 0.9796126401630989 
35 4055040 0.016030550003051758 0.6367305751765893 0.014386892318725586 0.9798183652875883 
36 4096000 0.016087770462036133 0.6303696303696305 0.014395475387573242 0.98001998001998 
37 4136960 0.01646566390991211 0.6241345202769535 0.014633655548095703 0.980217606330366 
38 4177920 0.016284942626953125 0.6180215475024486 0.01475834846496582 0.980411361410382 
39 4218880 0.016417503356933594 0.6120271580989332 0.014876127243041992 0.9806013579049466 
40 4259840 0.016489028930664062 0.6061479346781941 0.014968633651733398 0.9807877041306436 
41 4300800 0.01681375503540039 0.6003805899143673 0.015192747116088867 0.9809705042816366 
42 4341760 0.01697063446044922 0.5947219604147032 0.015162467956542969 0.9811498586239397 
43 4382720 0.016900062561035156 0.5891690009337068 0.015154123306274414 0.9813258636788048 
44 4423680 0.017957687377929688 0.5831792975970425 0.01548004150390625 0.9814986123959297 
45 4464640 0.017141342163085938 0.5783684692942255 0.015414237976074219 0.9816681943171403 
46 4505600 0.017411470413208008 0.5731153496821072 0.01561284065246582 0.9818346957311535 
47 4546560 0.017317533493041992 0.5679567956795679 0.015660524368286133 0.981998199819982 
48 4587520 0.017366409301757812 0.5628902765388046 0.015735387802124023 0.9821587867975022 
49 4628480 0.017577409744262695 0.5579133510167993 0.01566600799560547 0.982316534040672 
50 4669440 0.01787543296813965 0.5530236634531114 0.015737056732177734 0.9824715162138475 
51 4710400 0.017754793167114258 0.5482189400521286 0.015798091888427734 0.9826238053866203 
52 4751360 0.01779341697692871 0.5434969853574505 0.016004323959350586 0.9827734711455641 
53 4792320 0.017890453338623047 0.5388556789069172 0.015764951705932617 0.9829205807002562 
54 4833280 0.01821303367614746 0.5342929720575783 0.015978336334228516 0.983065198983912 
55 4874240 0.018538951873779297 0.529806884970613 0.01600170135498047 0.9832073887489504 
56 4915200 0.018231868743896484 0.5253955037468776 0.01607227325439453 0.9833472106577852 
57 4956160 0.018445253372192383 0.5210569777043765 0.015825986862182617 0.9834847233691164 
58 4997120 0.018370866775512695 0.516366612111293 0.015848636627197266 0.9836199836199836 
59 5038080 0.018683671951293945 0.512591389114541 0.01613783836364746 0.983753046303818 
60 5079040 0.018581390380859375 0.508460918614021 0.016067981719970703 0.983883964544722 
61 5120000 0.01873469352722168 0.504396482813749 0.016220808029174805 0.9840127897681854 
62 5160960 0.01906609535217285 0.500396510705789 0.01611471176147461 0.9841395717684378 
63 5201920 0.019304752349853516 0.4964594807238395 0.016335487365722656 0.98426435877262 
64 5242880 0.019272804260253906 0.492583918813427 0.016506433486938477 0.9843871975019516 
