shuf_frac aged_time aged_layout_score clean_time clean_layout_score
0 65.17416620254517 0.9374404108296641 59.8076434135437 0.9387787695862769 
5 94.95900988578796 0.9371650942494496 59.34102272987366 0.9386116880350415 
10 116.48151898384094 0.9371039340268141 58.62144994735718 0.9389174292065977 
15 134.87649774551392 0.9368724888121464 59.70762324333191 0.9388843006856774 
20 155.9370985031128 0.9367922168472647 59.56323981285095 0.9387740155547141 
25 172.97250843048096 0.9365260742633047 59.809869050979614 0.9387451637960964 
30 193.5101432800293 0.9362994408952322 59.91578435897827 0.9388187884817931 
35 219.84746170043945 0.9362596890854301 61.618449687957764 0.9383831225650188 
40 235.75530886650085 0.936191722218761 60.85896849632263 0.9387430680845049 
45 293.2196810245514 0.9354817277402991 60.36137318611145 0.9381968517620802 
50 315.38815569877625 0.9353057566053041 59.55332159996033 0.9385881771423198 
55 308.42051005363464 0.9356161516844602 60.67940926551819 0.9386127969885523 
60 334.3089597225189 0.9352994174821778 60.9565167427063 0.9385470167223245 
65 381.98407888412476 0.9346083853761326 61.128347635269165 0.9383288865697214 
70 380.0971009731293 0.934714504204906 66.7751932144165 0.9384596451168433 
75 401.31913566589355 0.933684194770507 61.00647854804993 0.9386732927438964 
80 416.61740708351135 0.9337845317182382 60.10482144355774 0.9388322960681057 
85 465.4051513671875 0.9299033682574166 62.523255825042725 0.9384153323072548 
90 498.84960770606995 0.9335546521271211 62.8703191280365 0.9383903202013659 
95 546.0646517276764 0.9283804971771886 63.156026124954224 0.9381325614512004 
