shuf_frac aged_time aged_layout_score clean_time clean_layout_score
0 17.512258768081665 0.9374348149160133 17.42723536491394 0.9385094715229348 
5 17.397921800613403 0.9369862306267975 19.972501277923584 0.9386665356229339 
10 29.09580969810486 0.9368908187263073 20.014484643936157 0.9386009771471501 
15 19.899447441101074 0.9366121984577429 20.030482530593872 0.9382560093531566 
20 18.995301723480225 0.9365083726778414 19.953562259674072 0.9388419339597879 
25 19.892467260360718 0.9363561702255259 59.832322120666504 0.9388457350997347 
30 19.92140769958496 0.936165429123633 19.980947017669678 0.9386342372935015 
35 19.87399172782898 0.9358476927138375 19.994218826293945 0.9386442293432601 
40 19.88915205001831 0.9357051785462961 19.990234851837158 0.9384659599725097 
45 19.87423086166382 0.935843460274689 19.943113327026367 0.9385585190873903 
50 19.36271357536316 0.9358291174442886 17.48511815071106 0.9383324314198893 
55 18.520047903060913 0.9354375144142426 19.993462562561035 0.9384305744497047 
60 19.844600200653076 0.9353956507513905 19.995198965072632 0.9386621498449494 
65 19.938871145248413 0.9352124162609745 19.963738441467285 0.9387633006424304 
70 60.263211727142334 0.9351376338239414 19.994176149368286 0.938537770148202 
75 19.886085510253906 0.9351382852956358 19.910695791244507 0.9385657171414293 
80 29.734290599822998 0.9346880923882349 20.07498598098755 0.9386517378119897 
85 19.873395681381226 0.9343080645994014 19.94393301010132 0.938583631570053 
90 19.37149715423584 0.9344660214378885 17.50760293006897 0.9379962180224304 
95 18.58821964263916 0.9343754134770854 43.94739031791687 0.9384074497021917 
