read_size_bytes num_reads time_seconds
4096 1000 0.021801
8192 1000 0.053954
16384 1000 1.004389
32768 1000 2.070798
65536 1000 3.424428
131072 1000 5.346785
262144 1000 7.245463
524288 1000 8.938415
1048576 1000 11.962806
2097152 1000 17.598980
4194304 1000 28.788811
8388608 1000 50.570347
16777216 1000 94.570775
33554432 1000 180.572978
67108864 1000 354.450729
134217728 1000 709.361473
268435456 1000 1474.968946
