shuf_frac aged_time aged_layout_score clean_time clean_layout_score
0 18.13691997528076 0.9344969824533582 17.384742498397827 0.9343926404137515 
5 16.276230812072754 0.9338148372401465 19.44649314880371 0.9346555993267328 
10 17.50965118408203 0.9339150367078617 76.55297780036926 0.9344667170646395 
15 17.550265312194824 0.9338203095575767 18.20583438873291 0.9343717985336665 
20 16.414434909820557 0.9337663074867346 17.723766088485718 0.934504072659122 
25 17.34743332862854 0.933713087088072 20.881549835205078 0.9342789926142707 
30 18.642452001571655 0.9334770773884234 20.82262873649597 0.9346195813281698 
35 16.469146251678467 0.9334743143618641 19.290371417999268 0.9344924182833397 
40 18.29694390296936 0.9333364569010724 21.076311588287354 0.934683495488547 
45 77.84287929534912 0.9332909869852554 20.659269332885742 0.9345682816684147 
50 17.572617530822754 0.9331211711926822 17.543226957321167 0.934284246853065 
55 18.29663848876953 0.9330283049298909 21.033679723739624 0.9344124039054137 
60 18.37868309020996 0.9329310542121724 17.44376301765442 0.9344562893254605 
65 16.59277319908142 0.9328148215558417 18.048109769821167 0.9344546340830496 
70 17.60354232788086 0.9328256338959655 20.88328742980957 0.9345242493102647 
75 17.4657564163208 0.9327337290049134 20.698514223098755 0.9344502470617492 
80 18.595057487487793 0.9325409089393725 19.550772428512573 0.9344161262012928 
85 16.677979707717896 0.9325120152237886 19.9853835105896 0.9344519309955832 
90 18.320029973983765 0.9323949423477014 20.941904544830322 0.9344664065097495 
95 79.77853465080261 0.9324080080729449 20.84044599533081 0.934448016492289 
