round fs_size aged_time aged_layout_score clean_time clean_layout_score
1 2662400 0.0134029388428 0.982972136223 0.0125560760498 0.982972136223 
2 2703360 0.0120029449463 0.967987804878 0.0132517814636 0.983231707317 
3 2744320 0.0131270885468 0.953453453453 0.012570142746 0.984984984985 
4 2785280 0.0132191181183 0.939349112426 0.0129141807556 0.985207100592 
5 2826240 0.0141859054565 0.912356321839 0.0130100250244 0.985422740525 
6 2867200 0.0141079425812 0.899433427762 0.0132420063019 0.985632183908 
7 2908160 0.01420378685 0.88687150838 0.0129988193512 0.984419263456 
8 2949120 0.014445066452 0.874655647383 0.0132620334625 0.986033519553 
9 2990080 0.0147199630737 0.86277173913 0.0132858753204 0.986225895317 
10 3031040 0.0146911144257 0.851206434316 0.013484954834 0.98777173913 
11 3072000 0.0151691436768 0.839947089947 0.0134680271149 0.986595174263 
12 3112960 0.0152869224548 0.828981723238 0.0136470794678 0.986772486772 
13 3153920 0.0154519081116 0.818298969072 0.0144989490509 0.985639686684 
14 3194880 0.015652179718 0.807888040712 0.0139939785004 0.985824742268 
15 3235840 0.0155498981476 0.797738693467 0.013799905777 0.98727735369 
16 3276800 0.0156738758087 0.787841191067 0.0139760971069 0.988693467337 
17 3317760 0.015811920166 0.77818627451 0.0141680240631 0.990074441687 
18 3358720 0.0158998966217 0.768765133172 0.0141839981079 0.990196078431 
19 3399680 0.015997171402 0.75956937799 0.0144159793854 0.98789346247 
20 3440640 0.0163950920105 0.750591016548 0.0143430233002 0.986842105263 
21 3481600 0.0162620544434 0.741822429907 0.014417886734 0.988179669031 
22 3522560 0.0162818431854 0.733256351039 0.0145199298859 0.98714953271 
23 3563520 0.0165619850159 0.724885844749 0.0145280361176 0.988452655889 
24 3604480 0.0166718959808 0.716704288939 0.0146839618683 0.987442922374 
25 3645440 0.0165131092072 0.708705357143 0.0143549442291 0.988713318284 
26 3686400 0.0167508125305 0.700883002208 0.0151710510254 0.987723214286 
27 3727360 0.0167469978333 0.693231441048 0.0151629447937 0.988962472406 
28 3768320 0.0168509483337 0.685745140389 0.0155899524689 0.989082969432 
29 3809280 0.0171101093292 0.678418803419 0.0156400203705 0.989200863931 
30 3850240 0.0170948505402 0.671247357294 0.0152359008789 0.989316239316 
31 3891200 0.0171430110931 0.664225941423 0.0136098861694 0.990486257928 
32 3932160 0.0174050331116 0.65734989648 0.0155370235443 0.988493723849 
33 3973120 0.0174171924591 0.650614754098 0.0155448913574 0.989648033126 
34 4014080 0.01740193367 0.644016227181 0.015839099884 0.990778688525 
35 4055040 0.0177338123322 0.637550200803 0.0158538818359 0.98985801217 
36 4096000 0.0177528858185 0.631212723658 0.0159859657288 0.989959839357 
37 4136960 0.0177631378174 0.625 0.0158929824829 0.990059642147 
38 4177920 0.0180079936981 0.618908382066 0.01606798172 0.991141732283 
39 4218880 0.0179309844971 0.612934362934 0.0167698860168 0.989278752437 
40 4259840 0.0182039737701 0.60707456979 0.0165991783142 0.990347490347 
41 4300800 0.0182960033417 0.601325757576 0.0165228843689 0.990439770554 
42 4341760 0.0184690952301 0.595684803002 0.0167300701141 0.99053030303 
43 4382720 0.0184981822968 0.590148698885 0.0165309906006 0.992495309568 
44 4423680 0.0187859535217 0.584714548803 0.0168519020081 0.991635687732 
45 4464640 0.0188460350037 0.579379562044 0.0170681476593 0.989871086556 
46 4505600 0.018786907196 0.574141048825 0.0167999267578 0.991788321168 
47 4546560 0.0189862251282 0.568996415771 0.0170860290527 0.991862567812 
48 4587520 0.0191819667816 0.563943161634 0.0171449184418 0.990143369176 
49 4628480 0.0191850662231 0.558978873239 0.0173408985138 0.992007104796 
50 4669440 0.0193350315094 0.55410122164 0.0168309211731 0.991197183099 
51 4710400 0.0194211006165 0.549307958478 0.0175309181213 0.99127399651 
52 4751360 0.0196580886841 0.544596912521 0.0172870159149 0.992214532872 
53 4792320 0.0196979045868 0.539965986395 0.0175230503082 0.990566037736 
54 4833280 0.0201468467712 0.535413153457 0.0176730155945 0.991496598639 
55 4874240 0.0201530456543 0.530936454849 0.0176410675049 0.990725126476 
56 4915200 0.0202450752258 0.526533996683 0.0176498889923 0.993311036789 
57 4956160 0.0201840400696 0.522203947368 0.0178201198578 0.99087893864 
58 4997120 0.0206780433655 0.517944535073 0.0180139541626 0.992598684211 
59 5038080 0.0206561088562 0.513754045307 0.0187261104584 0.992659053834 
60 5079040 0.0208859443665 0.50963081862 0.0182108879089 0.991100323625 
61 5120000 0.0211038589478 0.505573248408 0.0182960033417 0.991171749599 
62 5160960 0.0210149288177 0.501579778831 0.0186839103699 0.994426751592 
63 5201920 0.0215651988983 0.497648902821 0.0186638832092 0.992101105845 
64 5242880 0.0215339660645 0.493779160187 0.0186688899994 0.992163009404 
65 5283840 0.0207278728485 0.487711213518 0.0187819004059 0.99300155521 
66 5324800 0.0216369628906 0.486217457887 0.0180561542511 0.994598765432 
67 5365760 0.0219340324402 0.482522796353 0.0189201831818 0.992343032159 
68 5406720 0.0220589637756 0.478883861237 0.019054889679 0.992401215805 
69 5447680 0.0221571922302 0.475299401198 0.0187890529633 0.99245852187 
70 5488640 0.0220670700073 0.47176820208 0.019150018692 0.99251497006 
71 5529600 0.0223290920258 0.468289085546 0.0189092159271 0.992570579495 
72 5570560 0.0224318504333 0.46486090776 0.0195021629333 0.994100294985 
73 5611520 0.0223951339722 0.46148255814 0.0193700790405 0.992679355783 
74 5652480 0.0230419635773 0.458152958153 0.0196130275726 0.99273255814 
75 5693440 0.0229411125183 0.454871060172 0.0201618671417 0.992784992785 
76 5734400 0.0230691432953 0.451635846373 0.019679069519 0.993553008596 
77 5775360 0.0202920436859 0.448446327684 0.0201389789581 0.992887624467 
78 5816320 0.0233769416809 0.445301542777 0.0200910568237 0.993644067797 
79 5857280 0.0234150886536 0.442200557103 0.0200169086456 0.992286115007 
80 5898240 0.0236308574677 0.439142461964 0.0202269554138 0.993036211699 
81 5939200 0.0236568450928 0.436126373626 0.0202648639679 0.992392807746 
82 5980160 0.0244591236115 0.433151432469 0.0203528404236 0.994505494505 
83 6021120 0.024158000946 0.430216802168 0.0205149650574 0.992496589359 
84 6062080 0.024188041687 0.42732166891 0.020614862442 0.993224932249 
85 6103040 0.0242328643799 0.424465240642 0.0203919410706 0.993943472409 
86 6144000 0.0242750644684 0.421646746348 0.0208749771118 0.993315508021 
87 6184960 0.0245158672333 0.418865435356 0.0207929611206 0.992695883134 
88 6225920 0.0248639583588 0.416120576671 0.0209670066833 0.992744063325 
89 6266880 0.0247640609741 0.413411458333 0.0209360122681 0.992791612058 
90 6307840 0.0249991416931 0.410737386805 0.020956993103 0.993489583333 
91 6348800 0.0251669883728 0.408097686375 0.021458864212 0.994178525226 
92 6389760 0.0251259803772 0.405491698595 0.0214450359344 0.99293059126 
93 6430720 0.0253889560699 0.402918781726 0.0214858055115 0.992975734355 
94 6471680 0.0257329940796 0.400378310214 0.0214130878448 0.993654822335 
95 6512640 0.0257790088654 0.397869674185 0.0215749740601 0.993064312736 
96 6553600 0.021281003952 0.395392278954 0.0217010974884 0.99373433584 
97 6594560 0.0260398387909 0.392945544554 0.0216999053955 0.993150684932 
98 6635520 0.0261528491974 0.390528905289 0.0218749046326 0.993193069307 
99 6676480 0.0262022018433 0.388141809291 0.0227031707764 0.99569495695 
100 6717440 0.0262789726257 0.385783718104 0.0220439434052 0.996332518337 
