shuf_frac aged_time aged_layout_score clean_time clean_layout_score
0 21.589113473892212 0.9984310623434204 16.001404285430908 0.9380467286344937 
5 21.968180656433105 0.9984121867128549 16.01506233215332 0.9379178541322963 
10 21.852543354034424 0.9984421002456562 15.63233494758606 0.9384381390786584 
15 21.461317777633667 0.9984304675238027 15.685606479644775 0.9386473955212118 
20 22.46172022819519 0.9983017748310791 15.467958688735962 0.9391127302452684 
25 22.33963680267334 0.9983127059909326 15.983343601226807 0.9394222020980826 
30 21.859793186187744 0.9983406225458464 16.09999418258667 0.9395670043968648 
35 21.929750680923462 0.9983311139923607 15.651246309280396 0.9398666530075638 
40 22.255370140075684 0.9982113148864442 15.71741795539856 0.9402752085382039 
45 21.83915376663208 0.9985303396377403 15.411931037902832 0.940271293201094 
50 21.426636219024658 0.9983289911256473 15.655055284500122 0.9408239162909071 
55 21.056982278823853 0.998423667212278 15.118303060531616 0.9413497878372681 
60 20.81828260421753 0.9982624950439374 14.89539098739624 0.9417600215371261 
65 22.008447647094727 0.998363854929203 15.084903955459595 0.9423279012636357 
70 20.916104555130005 0.9983066661678722 14.764222621917725 0.9426018244590949 
75 21.83752417564392 0.9984853021469962 15.031659603118896 0.9432213430684517 
80 20.68490505218506 0.9985718410247482 14.982795000076294 0.9432749974735066 
85 21.664954900741577 0.9984871905579598 14.978333950042725 0.9434767280330031 
90 21.34244680404663 0.9984564193536709 14.510345458984375 0.9440341224634011 
95 20.554808855056763 0.9986087124445625 14.459024429321289 0.9450083899586317 
100 21.781423568725586 0.9984950859275133 14.355777978897095 0.9448975972268806 
