shuf_frac aged_time aged_layout_score clean_time clean_layout_score
0 94.56456255912781 0.9883994026914974 94.70788383483887 0.9884757693348976 
5 110.77201414108276 0.9785918868629407 95.82454991340637 0.9884726068747445 
10 140.7890899181366 0.972222147011972 97.08269023895264 0.9884956550771979 
15 158.08317852020264 0.9678107015354722 96.26594495773315 0.9884771315727497 
20 162.25310373306274 0.9653610745696205 95.14944505691528 0.9885069294994825 
25 164.2077968120575 0.9637323476327928 97.43237566947937 0.9885085166384658 
30 161.42522478103638 0.9624741002225462 96.79901599884033 0.9884989734449383 
35 160.3841953277588 0.9614082098627778 96.36584973335266 0.98850266655838 
40 158.94136142730713 0.959729435529729 95.67417764663696 0.9884945969724999 
45 159.24153923988342 0.9574647088878177 96.56624031066895 0.9885043677086426 
50 161.19162702560425 0.9550325414081292 96.99911522865295 0.9885080495987382 
55 165.5090310573578 0.953533159257614 96.94079518318176 0.9885104044370125 
60 170.88686513900757 0.9509676801860778 97.7991316318512 0.9884968688527549 
65 175.56253600120544 0.9484620322825595 97.12398886680603 0.9885327661678702 
70 178.22753071784973 0.9459333046797967 96.32420229911804 0.9884986527921402 
75 181.9169647693634 0.9436236363833329 96.73269319534302 0.9885163984422652 
80 186.25745344161987 0.9416028342668935 97.10729479789734 0.9885042224875094 
85 188.5506935119629 0.9392942977918141 96.52397084236145 0.9885271673212429 
90 191.42072129249573 0.9369325204331014 97.34090948104858 0.9885154339646476 
95 194.480731010437 0.9348374525504473 97.275803565979 0.9884854596652531 
