before dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 65.0721 s,, 248 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 17.692 s,, 910 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m16.087s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m15.899s
after dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 92.5777 s,, 174 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 48.1093 s,, 335 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m49.129s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m40.703s
before dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 30.7806 s,, 523 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 53.091 s,, 303 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m39.464s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m31.230s
after dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 48.5118 s,, 332 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 36.2436 s,, 444 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m33.814s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m40.036s
before dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 25.4023 s,, 634 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 36.3702 s,, 443 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m49.450s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m25.628s
after dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 40.662 s,, 396 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 44.6105 s,, 361 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m28.894s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m39.711s
before dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 37.3981 s,, 431 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 26.0283 s,, 619 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m37.890s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m50.593s
after dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 19.2876 s,, 835 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 41.1471 s,, 391 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m28.760s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m23.833s
before dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 58.2779 s,, 276 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 26.0737 s,, 618 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m35.809s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m52.869s
after dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 18.1457 s,, 888 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 33.5131 s,, 481 MB/s
beakerz, read.seq.cp.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m42.157s
beakerz, read.seq.cp.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 0m26.901s
before dropping cache
beakerz, read.seq.dd.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 49.4576 s,, 326 MB/s
beakerz, read.seq.dd.non.sparse, ./disks/linuxdisk_unaged.raw, 15G, 4.8G, 38.8106 s,, 415 MB/s
