round fs_size aged_time aged_layout_score clean_time clean_layout_score
1 2662400 0.012664079666137695 1.0 0.012361288070678711 1.0 
2 2703360 0.012618780136108398 0.9692307692307692 0.012703657150268555 1.0 
3 2744320 0.012787818908691406 0.9545454545454546 0.012621879577636719 1.0 
4 2785280 0.013133525848388672 0.9402985074626866 0.012730598449707031 1.0 
5 2826240 0.01324915885925293 0.9264705882352942 0.012559175491333008 1.0 
6 2867200 0.013544082641601562 0.9130434782608696 0.01296234130859375 1.0 
7 2908160 0.014353752136230469 0.9 0.013034343719482422 1.0 
8 2949120 0.01447153091430664 0.8873239436619719 0.013251066207885742 1.0 
9 2990080 0.01453089714050293 0.875 0.013377189636230469 1.0 
10 3031040 0.014808416366577148 0.863013698630137 0.013648271560668945 1.0 
11 3072000 0.014999628067016602 0.8513513513513513 0.013593912124633789 1.0 
12 3112960 0.015031814575195312 0.84 0.013938426971435547 1.0 
13 3153920 0.015388965606689453 0.8289473684210527 0.013715267181396484 1.0 
14 3194880 0.015283346176147461 0.8168831168831169 0.013883352279663086 1.0 
15 3235840 0.01592397689819336 0.7961538461538462 0.014386177062988281 1.0 
16 3276800 0.01573491096496582 0.7860759493670886 0.01423954963684082 1.0 
17 3317760 0.016138792037963867 0.77625 0.014063119888305664 1.0 
18 3358720 0.01611161231994629 0.7666666666666666 0.014249801635742188 1.0 
19 3399680 0.016164302825927734 0.7573170731707317 0.014330625534057617 1.0 
20 3440640 0.02263045310974121 0.7481927710843373 0.014384746551513672 1.0 
21 3481600 0.016026735305786133 0.7392857142857143 0.014526605606079102 1.0 
22 3522560 0.016207456588745117 0.7305882352941176 0.014700651168823242 1.0 
23 3563520 0.016574382781982422 0.7220930232558139 0.014824867248535156 1.0 
24 3604480 0.016623258590698242 0.7137931034482758 0.015247344970703125 1.0 
25 3645440 0.015697002410888672 0.7056818181818182 0.015108346939086914 1.0 
26 3686400 0.016655921936035156 0.697752808988764 0.015067815780639648 1.0 
27 3727360 0.016219139099121094 0.69 0.015181779861450195 1.0 
28 3768320 0.01628279685974121 0.6824175824175824 0.015503644943237305 1.0 
29 3809280 0.01572561264038086 0.675 0.015475749969482422 1.0 
30 3850240 0.01676797866821289 0.667741935483871 0.015589714050292969 1.0 
31 3891200 0.017090320587158203 0.6606382978723404 0.015632152557373047 1.0 
32 3932160 0.016155719757080078 0.6529968454258674 0.015975236892700195 1.0 
33 3973120 0.01616692543029785 0.6435233160621762 0.016051054000854492 1.0 
34 4014080 0.01727890968322754 0.6317395727365209 0.01608586311340332 1.0 
35 4055040 0.017673015594482422 0.6304568527918781 0.01605081558227539 1.0 
36 4096000 0.01765584945678711 0.6234939759036144 0.01615285873413086 1.0 
37 4136960 0.017290830612182617 0.6179104477611941 0.016252994537353516 1.0 
38 4177920 0.016766071319580078 0.6157635467980296 0.01655435562133789 1.0 
39 4218880 0.01719832420349121 0.6079766536964981 0.01639103889465332 1.0 
40 4259840 0.01796865463256836 0.6021194605009634 0.016765356063842773 1.0 
41 4300800 0.016906261444091797 0.5975143403441683 0.017127037048339844 1.0 
42 4341760 0.017777442932128906 0.5896226415094339 0.016772747039794922 1.0 
43 4382720 0.017296791076660156 0.5863039399624765 0.016909122467041016 1.0 
44 4423680 0.017204761505126953 0.5813953488372092 0.0334625244140625 1.0 
45 4464640 0.017680883407592773 0.5760368663594471 0.017117738723754883 1.0 
46 4505600 0.01787734031677246 0.5702554744525548 0.017255067825317383 1.0 
47 4546560 0.018022775650024414 0.5650994575045207 0.017649412155151367 1.0 
48 4587520 0.017992258071899414 0.5610412926391383 0.017531871795654297 1.0 
49 4628480 0.018027544021606445 0.556049822064057 0.01753091812133789 1.0 
50 4669440 0.018291711807250977 0.5497797356828193 0.01835346221923828 1.0 
51 4710400 0.02081751823425293 0.5428571428571429 0.017876625061035156 1.0 
52 4751360 0.019016504287719727 0.5395869191049913 0.0179901123046875 1.0 
53 4792320 0.019028663635253906 0.5363558597091531 0.018121719360351562 1.0 
54 4833280 0.019159793853759766 0.5309060118543607 0.018357038497924805 1.0 
55 4874240 0.019216299057006836 0.526006711409396 0.018512964248657227 1.0 
56 4915200 0.01964545249938965 0.5203319502074688 0.018228769302368164 1.0 
57 4956160 0.02001357078552246 0.5169002473206925 0.018503665924072266 1.0 
58 4997120 0.021016836166381836 0.5126737530662306 0.018682003021240234 1.0 
59 5038080 0.02038860321044922 0.510586319218241 0.018734455108642578 1.0 
60 5079040 0.019835948944091797 0.5052377115229654 0.018962621688842773 1.0 
61 5120000 0.019771337509155273 0.5007987220447284 0.019194364547729492 1.0 
62 5160960 0.019838333129882812 0.4972244250594766 0.019068002700805664 1.0 
63 5201920 0.020000457763671875 0.49370078740157475 0.019410133361816406 1.0 
64 5242880 0.020395994186401367 0.4894613583138173 0.019146442413330078 1.0 
65 5283840 0.02033233642578125 0.4868217054263566 0.024318456649780273 1.0 
66 5324800 0.020536184310913086 0.4826789838337182 0.019534587860107422 1.0 
67 5365760 0.02073812484741211 0.48012232415902145 0.020029544830322266 1.0 
68 5406720 0.020885467529296875 0.475 0.01972508430480957 1.0 
69 5447680 0.02019786834716797 0.4707207207207207 0.01977229118347168 1.0 
70 5488640 0.021069049835205078 0.46860986547085204 0.019835233688354492 1.0 
71 5529600 0.02110886573791504 0.4651335311572701 0.020163774490356445 1.0 
72 5570560 0.02107858657836914 0.46170839469808544 0.0258481502532959 1.0 
73 5611520 0.021471023559570312 0.4576642335766423 0.02015066146850586 1.0 
74 5652480 0.02143263816833496 0.45434782608695656 0.02081012725830078 1.0 
75 5693440 0.02171802520751953 0.4514038876889849 0.020781517028808594 1.0 
76 5734400 0.021687030792236328 0.44785714285714284 0.020457029342651367 1.0 
77 5775360 0.022028207778930664 0.4437367303609342 0.02119302749633789 1.0 
78 5816320 0.02187824249267578 0.44092827004219415 0.020873308181762695 1.0 
79 5857280 0.022017955780029297 0.4401947148817803 0.021391868591308594 1.0 
80 5898240 0.021941423416137695 0.4371546961325967 0.021300315856933594 1.0 
81 5939200 0.022690534591674805 0.4344543582704187 0.021017074584960938 1.0 
82 5980160 0.022488832473754883 0.43090537780803273 0.02182483673095703 1.0 
83 6021120 0.022482872009277344 0.4286680189317106 0.021354198455810547 1.0 
84 6062080 0.022289037704467773 0.4263618022864829 0.021488189697265625 1.0 
85 6103040 0.022588253021240234 0.42323097463284376 0.021986722946166992 1.0 
86 6144000 0.02308487892150879 0.4194831013916501 0.021675586700439453 1.0 
87 6184960 0.02279949188232422 0.4180381830151415 0.0219423770904541 1.0 
88 6225920 0.02314162254333496 0.41530412034009156 0.021921396255493164 1.0 
89 6266880 0.025022029876708984 0.41276041666666663 0.021504878997802734 1.0 
90 6307840 0.023487091064453125 0.4102067183462532 0.022236347198486328 1.0 
91 6348800 0.023639202117919922 0.40757381258023107 0.022207021713256836 1.0 
92 6389760 0.02319192886352539 0.4053537284894837 0.02229762077331543 1.0 
93 6430720 0.023701906204223633 0.4015199493350222 0.022497177124023438 1.0 
94 6471680 0.023631811141967773 0.40075614366729684 0.022730588912963867 1.0 
95 6512640 0.024120807647705078 0.39674593241551936 0.02281665802001953 1.0 
96 6553600 0.02403402328491211 0.39427860696517414 0.022727012634277344 1.0 
97 6594560 0.024609804153442383 0.3920841063698206 0.02293539047241211 1.0 
98 6635520 0.0242462158203125 0.3890931372549019 0.02277231216430664 1.0 
99 6676480 0.024272441864013672 0.3871951219512195 0.02293109893798828 1.0 
100 6717440 0.02440667152404785 0.3854545454545455 0.02265143394470215 1.0 
