shuf_frac aged_time aged_layout_score clean_time clean_layout_score
0 12.56605839729309 0.9946329414993368 13.036628007888794 0.9945883941361463 
5 12.97536301612854 0.9912438491929153 12.634540319442749 0.9947726935905575 
10 13.625917673110962 0.9861881940899085 12.891254663467407 0.994733201960709 
15 14.372704267501831 0.9832975587261678 12.77468490600586 0.9947532326856678 
20 14.854627847671509 0.9787981533698439 12.75307583808899 0.9947295232693241 
25 15.220884084701538 0.9749368733074727 12.51883339881897 0.9948397485749838 
30 15.078819990158081 0.9713775759449782 12.636413097381592 0.9947349931294176 
35 15.539237976074219 0.9672293569924306 12.696273565292358 0.9948269299741621 
40 18.428725957870483 0.9635263336047352 12.483000993728638 0.9947374391004707 
45 17.572469472885132 0.9604622014034382 12.574533700942993 0.9947501999096061 
50 17.37929391860962 0.9598150827901497 12.572227716445923 0.9946547594870472 
55 16.59877896308899 0.959362541782768 12.292308568954468 0.9948693551928566 
60 16.208993673324585 0.9578519246285492 12.46639370918274 0.9948054942099283 
65 73.12312650680542 0.9571907785955722 12.818909168243408 0.9947216179475967 
70 75.5647087097168 0.9562918788712378 12.63470721244812 0.9947513837427382 
75 17.3235182762146 0.9555066857063924 12.63233494758606 0.9946488398348085 
80 16.58756446838379 0.9548035881232608 12.549578428268433 0.9949145687814179 
85 17.607348442077637 0.9546868282151907 14.4990553855896 0.9946897570133817 
90 77.63452625274658 0.9543151479233659 12.729421615600586 0.9946265674798473 
95 18.01288604736328 0.9543052015887797 12.867771625518799 0.9946697261304188 
